id,domain,webURL,numViolations,violationnumberID,initialImpactScore,Description,LongDescription,AffectedHTMLElement(s),domain_alias,updated_Description,baseline_help,corrected_Code,thoughts,finalImpactScore
2251243946.0,Educational Platforms,https://campus.uni-stuttgart.de/,3.0,aria-hidden-focus,4.0,Ensures aria-hidden elements do not contain focusable elements,https://dequeuniversity.com/rules/axe/4.4/aria-hidden-focus?application=axeAPI,"<div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>, <div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",ARIA hidden element must not be focusable or contain focusable elements,"```html
<div class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>, <div class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>
```","The provided elements are marked as `aria-hidden=""true""` but also include `tabindex=""0""`, making them focusable. This contradicts the accessibility guidelines that elements hidden from screen readers should also not be focusable so they don't interfere with keyboard navigation for users relying on assistive technologies. To fix this, I will remove the `tabindex=""0""` attribute from these elements to ensure they are not focusable, aligning with the suggested accessibility practice.",0
2251243946.0,Educational Platforms,https://campus.uni-stuttgart.de/,3.0,duplicate-id-active,4.0,Ensures every id attribute value of active elements is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id-active?application=axeAPI,"<button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-de-button"" tabindex=""0"" aria-pressed=""false"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> DE </span></button>, <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-en-button"" tabindex=""0"" aria-pressed=""true"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> EN </span></button>",edu,NOTE: This success criterion is no longer useful and as of 2023 has been removed from WCAG. It previously required that significant HTML validation/parsing errors be avoided.,IDs of active elements must be unique,"
```html
<button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""uniqueId1"" tabindex=""0"" aria-pressed=""false"" name=""uniqueName1""><span class=""mat-button-toggle-label-content""> DE </span></button>
<button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""uniqueId2"" tabindex=""0"" aria-pressed=""true"" name=""uniqueName2""><span class=""mat-button-toggle-label-content""> EN </span></button>
```
","The error description points out that ID values within the page are not unique, which can lead to conflicts especially when scripting or styling elements individually. In this case, two button elements have distinct IDs (`language-button-de-button` and `language-button-en-button`), implying the issue might lie elsewhere if these are the highlighted elements. However, assuming there are duplicates or the concern is about ensuring uniqueness especially within dynamically updated content (like language switchers), we must ensure all IDs within the page are unique. A typical fix could involve appending additional identifying information to each ID, but given the provided snippet already shows unique IDs for each button, we'll approach this by emphasizing the importance of maintaining unique IDs particularly in scenarios where similar elements are dynamically added or removed.",0
2251243946.0,Educational Platforms,https://campus.uni-stuttgart.de/,3.0,duplicate-id,2.0,Ensures every id attribute value is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id?application=axeAPI,"<mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-de"" style="""">, <mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-checked mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-en"" style="""">",edu,NOTE: This success criterion is no longer useful and as of 2023 has been removed from WCAG. It previously required that significant HTML validation/parsing errors be avoided.,id attribute value must be unique,"```html
<mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-de"" style=""""></mat-button-toggle>
<mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-checked mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-en"" style=""""></mat-button-toggle>
```
","The provided HTML snippet indicates a potential accessibility issue where two elements on the webpage have been assigned the same id attribute value. Since id attributes are meant to be unique identifiers for elements within a HTML document, having duplicate id values can cause issues, particularly for screen readers and other assistive technologies that rely on these ids to navigate and interact with web content. To correct this issue, it is necessary to ensure that each element on the page has a unique id attribute value. This involves modifying one or both of the id values in the provided snippet to make sure they are distinct from one another.",0
8846585774.0,Educational Platforms,https://els-egypt.net/,3.0,button-name,5.0,Ensures buttons have discernible text,https://dequeuniversity.com/rules/axe/4.4/button-name?application=axeAPI,"<button class=""app-header__action-button app-header__action-button--open-search"" type=""button"" arial-label=""search"" aria-controls=""search-form"" accesskey=""s"">",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",Buttons must have discernible text,"<button class=""app-header__action-button app-header__action-button--open-search"" type=""button"" aria-label=""search"" aria-controls=""search-form"" accesskey=""s"">","The issue here is that the button intended for search functionality lacks discernible text that can be read by screen readers due to a typographical error in the attribute name (`arial-label` should be `aria-label`). To fix this accessibility issue and adhere to the suggested change, I will correct the attribute name so that it properly defines the button's function as 'search' for screen readers. This correction will make the button more accessible to users relying on assistive technologies.",5
8846585774.0,Educational Platforms,https://els-egypt.net/,3.0,color-contrast,4.0,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<a class=""btn btn-link btn-block btn-lg p-0 m-0 mt-md-0 mt-3 justify-content-end"" href=""https://els-egypt.net/news-items/"" alt=""see all news"">, <p>© Copyright 2024 Egyptian Language School. All Rights Reserved. Website designed &amp; developed by <a href=""http://www.road9media.com"" target=""_blank"">Road9 Media</a></p>",edu,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1.,Elements must meet minimum color contrast ratio thresholds,"
```html
<a class=""btn btn-link btn-block btn-lg p-0 m-0 mt-md-0 mt-3 justify-content-end"" href=""https://els-egypt.net/news-items/"" style=""color:#000000; background-color:#FFFFFF;"" alt=""see all news"">

<p style=""color:#000000;"">© Copyright 2024 Egyptian Language School. All Rights Reserved. Website designed &amp; developed by <a href=""http://www.road9media.com"" target=""_blank"" style=""color:#005A9C;"">Road9 Media</a></p>
```
","To address the accessibility issue related to color contrast ratios, I must ensure that the text elements have sufficient contrast against their backgrounds, adhering to the WCAG 2 AA contrast ratio thresholds. This involves modifying styles such as color and background-color for these elements, so they meet the required minimum contrast ratio. However, without specific color codes or a style context to modify, precise corrections can be challenging to prescribe. A general approach will focus on enhancing text contrast via CSS.",4
8846585774.0,Educational Platforms,https://els-egypt.net/,3.0,image-alt,5.0,Ensures <img> elements have alternate text or a role of none or presentation,https://dequeuniversity.com/rules/axe/4.4/image-alt?application=axeAPI,"<img class=""app-hero__slogan"" src=""https://els-egypt.net/wp-content/themes/els/images/backgrounds/slogan.png"">, <img class=""d-none d-sm-block"" src=""https://els-egypt.net/wp-content/uploads/2023/12/universities-e1701686473337.png"">",edu,"Images, image buttons, and image map hot spots have appropriate, equivalent alternative text.Images that do not convey content, are decorative, or contain content that is already conveyed in text are given empty alternative text (alt="""") or implemented as CSS backgrounds. All linked images have descriptive alternative text.Equivalent alternatives to complex images are provided in context or on a separate linked page.Form buttons have a descriptive value.Inputs have associated accessible names.Embedded multimedia is identified via accessible text.Frames and iframes are appropriately titled. ",Images must have alternate text,"- `<img class=""app-hero__slogan"" src=""https://els-egypt.net/wp-content/themes/els/images/backgrounds/slogan.png"" alt=""ELS Egypt Slogan"">`
- `<img class=""d-none d-sm-block"" src=""https://els-egypt.net/wp-content/uploads/2023/12/universities-e1701686473337.png"" alt=""Featured Universities"">`","The error indicates that the `<img>` elements are missing alternative text (`alt` attribute) which is crucial for accessibility, as it provides users who are unable to see the image with a text description. This error is particularly impactful for screen reader users who rely on the `alt` attribute to understand the content of an image. To resolve this issue, I will add an `alt` attribute with appropriate descriptive text to each `<img>` tag.",0
4273337332.0,Educational Platforms,https://www.uchicago.edu/,1.0,nested-interactive,4.0,Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,https://dequeuniversity.com/rules/axe/4.4/nested-interactive?application=axeAPI,"<div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV carousel__slide carousel__slide--visible CalloutBannerList_carouselBannerContainer__3eUPC"" style=""width: 50%; padding-bottom: unset; height: unset;"">",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",Interactive controls must not be nested,"```html
<div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV carousel__slide carousel__slide--visible CalloutBannerList_carouselBannerContainer__3eUPC"" style=""width: 50%; padding-bottom: unset; height: unset;"">
  <!-- Ensure any nested content is not interactive or is appropriately structured to not violate accessibility practices -->
</div>
```
","Nesting interactive controls can indeed cause issues for users relying on assistive technologies, as it might not always be clear which element is focused or actionable. The provided code shows a div with interactive attributes (like tabindex and role), but without specifying what kind of nested interactive elements are present, it's hard to correct the nesting directly. However, one approach to address this issue is to ensure that the div itself does not nest other interactive controls or to modify its role and interactive attributes to better suit its actual function in the context. In the absence of information on the nested elements, I will modify the div to maintain its accessibility without assuming the existence of nested interactive elements.",5
8883634268.0,Educational Platforms,https://www.harvard.edu/,2.0,color-contrast,4.0,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<a class=""c-card__wrapper-link"" id=""p-6688858e48956-link"" aria-labelledby=""p-6688858e48956-title"" aria-describedby=""p-6688858e48956-link"" data-js=""target-link"" href=""https://magazine.hms.harvard.edu/articles/half-century-quest-explain-dyslexia"">
			Read more about Albert’s research	</a>, <a class=""c-card__wrapper-link"" id=""p-6688858e48992-link"" aria-labelledby=""p-6688858e48992-title"" aria-describedby=""p-6688858e48992-link"" data-js=""target-link"" href=""https://hms.harvard.edu/news/how-common-face-blindness"">
			Learn more about this debilitating condition	</a>, <span>Touch is much more than just conscious perception of what you are actively reaching out to feel, or what is touching your skin.”</span>, <p>Professor of Neurobiology David Ginty</p>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	There’s the rub</h3>, <p>, <a href=""https://news.harvard.edu/gazette/story/2016/09/from-leaf-to-itch/"">poison ivy’s molecular path</a>, <h3 class=""b-featured-stories__slide-title"">
	Taking a stance on sensory disorders</h3>, <div class=""b-featured-stories__slide-desc t-sink"">
	Harvard researcher Divya Chari's work aims to increase awareness of and ease the diagnosing of vestibular disorders.</div>, <span class=""a-btn__text"">
			Learn about Divya's research			</span>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	How does flavor work?</h3>, <p>During the Harvard Horizons talks and on the “Veritalk” podcast, Harvard alum Jess Kanwal explains that our brain’s ability to combine taste and smell is just one example of how we are able to mix and match senses—with very interesting results.</p>, <a class=""c-card__wrapper-link"" id=""p-6688858e4fdcd-link"" aria-labelledby=""p-6688858e4fdcd-title"" aria-describedby=""p-6688858e4fdcd-link"" data-js=""target-link"" href=""https://nutritionsource.hsph.harvard.edu/2016/05/31/super-tasters-non-tasters-is-it-better-to-be-average/"">, <a class=""c-card__wrapper-link"" id=""p-6688858e4fde2-link"" aria-labelledby=""p-6688858e4fde2-title"" aria-describedby=""p-6688858e4fde2-link"" data-js=""target-link"" href=""https://news.harvard.edu/gazette/story/2018/08/learning-how-to-become-a-gourmand/"">
			Learn how to think like a gourmand	</a>",edu,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1.,Elements must meet minimum color contrast ratio thresholds,"To improve the accessibility and ensure compliance with WCAG 2 AA standards for color contrast, we need to make sure that all text elements on the website, including links, paragraphs, and headers, have sufficient contrast against their background colors. This may involve adjusting the color of the text, the background, or both to achieve at least a 4.5:1 contrast ratio for normal text and 3:1 for large text. Since the specific colors weren't provided in the error message, I'll make a generalized suggestion for improvement that follows this principle.

Incorrect: Various elements as listed.

Thought: Since the exact color values are not provided, I cannot specify exact color codes to use. However, the correction involves ensuring every text element (including links, span, p tags, and h3 headers) mentioned meets the minimum color contrast ratio as per WCAG 2 AA guidelines. Ensuring accessible color contrast will involve choosing text and background colors that contrast well enough for people with visual impairments to read the content easily.

Correct (conceptual): This correction assumes changes in CSS where specific foreground and background color codes would be set to meet or exceed the recommended contrast ratios.

- For `<a class=""c-card__wrapper-link"">` tags, ensure the text color and the background color have a contrast ratio of at least 4.5:1.
- For `<span>` and `<p>` tags, apply the same rule of sufficient contrast.
- For `<h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">` and other header tags, ensuring a contrast ratio of at least 4.5:1 for smaller text and 3:1 for larger text (18pt and larger or bold text that is 14pt and larger).

Note: Since specific color codes to adjust are not mentioned, it's necessary to analyze the existing color scheme of the elements mentioned and adjust them accordingly. Tools like the WebAIM Color Contrast Checker can be used to test color combinations for compliance.",,0
8883634268.0,Educational Platforms,https://www.harvard.edu/,2.0,frame-title,4.0,Ensures <iframe> and <frame> elements have an accessible name,https://dequeuniversity.com/rules/axe/4.4/frame-title?application=axeAPI,"<iframe src=""https://player.simplecast.com/bd320844-4937-4ed1-bf96-e0e62a736792?dark=false"" width=""100%"" height=""200px""></iframe>",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",Frames must have an accessible name,"`<iframe title=""Podcast Player"" src=""https://player.simplecast.com/bd320844-4937-4ed1-bf96-e0e62a736792?dark=false"" width=""100%"" height=""200px""></iframe>`","To make the `<iframe>` element accessible, it's important to give it a title or an aria-label that describes its content or function. This helps screen reader users understand the purpose of the iframe. Since the original iframe code lacks an accessible name, I will add a title attribute to it.",-1
2128318591.0,Government and Public Services,https://www.usa.gov/,1.0,color-contrast,4.0,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Facing financial hardship
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Having a child and early childhood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Transitioning to adulthood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Approaching retirement
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Recovering from a disaster
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>",gov,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1.,Elements must meet minimum color contrast ratio thresholds,"```html
<h3 class=""usa-parent-card usa-card__heading usagov-card__heading carouselHeaders"" style=""color: #000000;""> <!-- Assuming #000000 (black) provides sufficient contrast -->
    Dealing with the death of a loved one
</h3>
...
```
","To fix this issue, assume we're changing the text color to a darker shade to improve contrast. I will apply an inline style for demonstration, though ideally, CSS styles should be defined in a stylesheet.",0
